GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,,SeriesFirstDown,,NextScore,Description,TeamWin,,,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2013110300,2013-11-03,4,0,0,,KC,0,0,0,,1,,0,"END GAME",0,,,2013,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2013110305,2013-11-03,3,0,0,,SD,0,0,0,,1,,0,"END QUARTER 3",0,,,2013,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2013110306,2013-11-03,2,0,8,,PHI,0,0,0,,1,,0,"TIMEOUT #2 BY PHI AT 00:08.",0,,,2013,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2013111400,2013-11-14,2,2,58,,IND,0,0,0,,1,,0,"TIMEOUT #1 BY TEN AT 02:58.",0,,,2013,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2013111400,2013-11-14,4,3,5,,IND,0,0,0,,1,,0,"TIMEOUT #3 BY TEN AT 03:05.",0,,,2013,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2013112402,2013-11-24,4,0,44,,TB,0,0,0,,1,,0,"TIMEOUT #3 BY DET AT 00:44.",0,,,2013,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2013112408,2013-11-24,2,0,52,,IND,0,0,0,,1,,0,"TIMEOUT #2 BY ARI AT 00:52.",0,,,2013,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2013112410,2013-11-24,2,0,53,,DAL,0,0,0,,1,,0,"TIMEOUT #2 BY DAL AT 00:53.",0,,,2013,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2013112410,2013-11-24,4,1,43,,DAL,0,0,0,,1,,0,"TIMEOUT #1 BY NYG AT 01:43.",0,,,2013,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2013120107,2013-12-01,5,12,4,,ATL,0,0,0,,1,,0,"TIMEOUT #1 BY BUF AT 12:04.",0,,,2013,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
